The Data Nerd,@OnchainDataNerd
Tweet Range : 2024-04-21:2030-01-01
Save Path : C:\Users\86158\Desktop\学习内容\twitter_scrapy_for_text-main\OnchainDataNerd\
Tweet Date,Tweet URL,Tweet Content,Favorite Count,Retweet Count,Reply Count
2024-06-28 01:43,https://twitter.com/OnchainDataNerd/status/1806503761722163374,"4 hours ago, a whale 0x42C deposited 17.715M $BLUR (~$3.71M) to #Binance.

4 months ago, he accumulated those tokens for $9.49M and he will have a loss ~$5.78M if sold all at current price.

Address:
",13,2,0
2024-06-27 08:40,https://twitter.com/OnchainDataNerd/status/1806246106160087375,"7 hours ago, a whale 0x2Ea deposited 3.8M $ENA (~$2.12M) to #Binance.
If sold at current price, he will have realized loss ~$1.72M

Last month, he accumulated 11M $ENA for ~$11.2M and still staking 7.1M $ENA in #Pendle with unrealized loss ~$3.22M

Address
",21,2,2
2024-06-27 04:23,https://twitter.com/OnchainDataNerd/status/1806181426012049766,"11 hours ago, #US_Gov deposited 3,940 $BTC (~$241.22M) to #Coinbase.

Yesterday, #German_Gov also transferred 1,095 $BTC to #Kraken, #Bitstamp and #Flow_Traders.

Just now, both governments still hodl 258,810 $BTC ~ $15.8B.

Will they continue to sell $BTC??? ",21,4,14
2024-06-27 03:10,https://twitter.com/OnchainDataNerd/status/1806163138720731181,"8 minutes ago, a whale 0x837 just deposited his last 300B $PEPE (~$3.85M) to #Binance.
With this deposition, he has a loss ~$1.73M with this investment.

Yesterday, he already deposited 1.1T $PEPE (~$14.42M) and withdrew 1,210 $ETH (~$4.1M) from #Binance.",9,1,0
2024-06-26 23:51,https://twitter.com/OnchainDataNerd/status/1806113056000532935,"4 hours ago, 16M $ONDO (~$19.37M) were transferred from #Coinbase's custody wallet to #Teneo &amp; #Arrington &amp; other VC on #Bybit, #Kucoin &amp; #Gate.
 
3 weeks ago, same thing happenned &amp; $ONDO's price dumped ~20%.

Address:
",34,5,1
2024-06-26 14:57,https://twitter.com/OnchainDataNerd/status/1805978733196808241,"1 hour ago, at the same time, 2 fresh wallets withdrew totally 6.65M $OM (~$4.85M) from #Binance. 

0x102 withdrew 4.03M $OM (~$2.94M)
0x4E6 withdrew 2.62M $OM (~$1.91M)

Addresses:
",14,4,2
2024-06-26 08:41,https://twitter.com/OnchainDataNerd/status/1805884142619644103,"A Rug-pull to $DOREA on Sol.

7 hours ago, 3TQYN (maybe dev) spent $41k for 2.5M $DORAE.

4 hours later, he started selling all of them for $1.4M and caused $DORAE's price dump from $2.1 to $0.01.

His address:
",23,4,3
2024-06-26 04:42,https://twitter.com/OnchainDataNerd/status/1805824046962991263,"6 minutes ago, a whale 0x837 deposited 300B $PEPE (~$3.85M) to #Binance.

Within 1 hour, he totally deposited 1.1T $PEPE (~$14.42M) to #Binance and will have a loss ~$894k if sold at current price.

Just now, he still hodls 300B $PEPE (~$3.85M).

Address:
",18,4,2
2024-06-26 03:20,https://twitter.com/OnchainDataNerd/status/1805803211288465810,"10 hours ago, 2 wallets (belong to @GSR_io) deposited totally 3.466M $ARB (~$3.92M) to #Binance.

Those are last $ARB in these 2 wallets.

Addresses:
",19,1,1
2024-06-25 06:58,https://twitter.com/OnchainDataNerd/status/1805495834492162112,"2 hours ago, a whale 0x06b just withdrew 333.9B $PEPE ($3.98M) from #Binance.

Address: 
",22,7,2
2024-06-25 05:06,https://twitter.com/OnchainDataNerd/status/1805467471132115250,"Not all whales are diamond-hand.

8 hours ago, a whale 0xC4A deposited 2.35k $MKR (~$5.04M) to #OKX.

5 months ago, he accumulated 2.35k $MKR, 39.1k $AAVE &amp; 1.4M $LDO for $13.08M and then sold them all for $11.4M 👉 Total loss ~ $1.7M

Address:
",12,1,1
2024-06-25 03:17,https://twitter.com/OnchainDataNerd/status/1805440250656997817,"14 hours ago, a smart money 0xd1f deposited 1.1M $ONDO (~$1.23M) to #Kucoin.

4 months ago, he accumulated 2.2M $ONDO for $495k and this investment made a profit of ~$1.61M for him with the ROI 326%.

Address:
",21,3,3
2024-06-24 12:52,https://twitter.com/OnchainDataNerd/status/1805222516463673856,"2 hours ago, a whale just deposited 1.09T $SHIB (~$18.34M) to #Binance . 

7 months ago, he accumulated those tokens at avg entry $0.0000108.

If sold all at current price, he will earn $6.59M

Address:
",13,4,1
2024-06-24 08:34,https://twitter.com/OnchainDataNerd/status/1805157422107107337,"11 hours ago, a whale 0x2E9 totally withdrew 2,410 $MKR (~$5.5M) from #OKX.

2 days ago, he accumulated 89.1k $AAVE for $7.16M but sold them all to buy $MKR.

Address:
",11,1,1
2024-06-24 07:38,https://twitter.com/OnchainDataNerd/status/1805143337214910749,"13 hours ago, a wallet 0xB94 deposited 8.11M $GRT (~$1.7M) to #Kraken.

22 hours ago, a wallet 0x285 also deposited 8.1M $GRT (~$1.74M) to #Kraken.

These 2 wallets both belong to ""Notilus"" - an early investor of $GRT.

Addresses:
",19,2,1
